code,description,brochures,product_url
08-008-00-06,Discontinued / No Description Found,Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-008-00-06/
08-008-00-08,Discontinued / No Description Found,Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-008-00-08/
08-008-00-14,Discontinued / No Description Found,Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-008-00-14/
08-008-00-19,Discontinued / No Description Found,Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-008-00-19/
08-008-00-20,Discontinued / No Description Found,Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-008-00-20/
08-022-00-21,Discontinued / No Description Found,Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-022-00-21/
08-024-00-23,"Mains cable, type E/F, for ex. for Germany, France, Austria, Scandinavia, Korea, cable length 3 m",90-302-48-10 Electrosurgery | Accessories for Electrosurgery (https://www.klsmartin.com/mediathek/90-302-48-10_Accessories_for_electrosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/08-024-00-23/
08-024-00-28,"Mains cable, type J, ex. for Switzerland, cable length 3 m",Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-024-00-28/
08-024-00-29,"Mains cable, type B, ex. for Taiwan, USA, Canada, cable length 2 m",Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-024-00-29/
08-024-00-30,"Mains cable, type L, ex. for Italy, cable length 2.5 m",Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-024-00-30/
08-024-00-40,"Mains cable, type G, ex. for Great Britain, Ireland, United Arab Emirates, cable length 1.8 m",Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-024-00-40/
08-024-00-41,"Mains cable, type I, ex. for China, cable length 2.5 m",90-302-48-10 Electrosurgery | Accessories for Electrosurgery (https://www.klsmartin.com/mediathek/90-302-48-10_Accessories_for_electrosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/08-024-00-41/
08-024-00-43,"Mains cable, type J, ex. Switzerland, cable length 3 m",90-302-48-10 Electrosurgery | Accessories for Electrosurgery (https://www.klsmartin.com/mediathek/90-302-48-10_Accessories_for_electrosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/08-024-00-43/
08-024-00-83,"Mains cable, type G, ex. for Great Britain, Ireland, United Arab Emirates, cable length 5 m",90-302-48-10 Electrosurgery | Accessories for Electrosurgery (https://www.klsmartin.com/mediathek/90-302-48-10_Accessories_for_electrosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/08-024-00-83/
08-024-00-85,"Mains cable, type B, ex. for Japan, Hospital Grade, cable length 5 m",Accessories for Electrosurgery,https://www.klsmartin.com/shop/en/products/product/08-024-00-85/
